INFO - 2024-01-05 13:27:39.091 - parsing Ok, result CHANGED 
INFO - 2024-01-05 15:27:42.469 - parsing Ok, result CHANGED 
INFO - 2024-01-05 17:57:45.122 - parsing Ok, result CHANGED 
INFO - 2024-01-05 18:57:46.265 - parsing Ok, result CHANGED 
INFO - 2024-01-05 19:27:46.771 - parsing Ok, result CHANGED 
INFO - 2024-01-05 19:57:47.424 - parsing Ok, result CHANGED 
INFO - 2024-01-05 20:57:48.659 - parsing Ok, result CHANGED 
INFO - 2024-01-05 21:27:49.377 - parsing Ok, result CHANGED 
INFO - 2024-01-05 22:27:50.605 - parsing Ok, result CHANGED 
INFO - 2024-01-05 23:57:52.372 - parsing Ok, result CHANGED 
INFO - 2024-01-06 00:27:52.888 - parsing Ok, result CHANGED 
INFO - 2024-01-06 00:57:53.508 - parsing Ok, result CHANGED 
INFO - 2024-01-06 03:27:56.314 - parsing Ok, result CHANGED 
INFO - 2024-01-06 05:57:59.174 - parsing Ok, result CHANGED 
INFO - 2024-01-06 06:58:00.395 - parsing Ok, result CHANGED 
INFO - 2024-01-06 07:28:01.144 - parsing Ok, result CHANGED 
INFO - 2024-01-06 07:58:01.755 - parsing Ok, result CHANGED 
INFO - 2024-01-06 08:28:02.203 - parsing Ok, result CHANGED 
INFO - 2024-01-06 09:28:03.407 - parsing Ok, result CHANGED
