INFO - 2024-01-04 12:50:55.609 - parsing Ok, result CHANGED 
INFO - 2024-01-04 13:20:56.209 - parsing Ok, result CHANGED 
INFO - 2024-01-04 15:50:59.405 - parsing Ok, result CHANGED 
INFO - 2024-01-04 16:21:00.100 - parsing Ok, result CHANGED 
INFO - 2024-01-04 17:51:01.893 - parsing Ok, result CHANGED 
INFO - 2024-01-04 18:51:02.884 - parsing Ok, result CHANGED 
INFO - 2024-01-04 19:21:03.532 - parsing Ok, result CHANGED 
INFO - 2024-01-04 19:51:04.122 - parsing Ok, result CHANGED 
INFO - 2024-01-04 21:51:06.623 - parsing Ok, result CHANGED 
INFO - 2024-01-05 00:21:10.022 - parsing Ok, result CHANGED 
INFO - 2024-01-05 00:51:10.659 - parsing Ok, result CHANGED 
INFO - 2024-01-05 03:51:14.062 - parsing Ok, result CHANGED 
INFO - 2024-01-05 05:51:16.619 - parsing Ok, result CHANGED 
INFO - 2024-01-05 06:51:17.751 - parsing Ok, result CHANGED 
INFO - 2024-01-05 07:21:18.503 - parsing Ok, result CHANGED 
INFO - 2024-01-05 08:21:19.709 - parsing Ok, result CHANGED 
INFO - 2024-01-05 09:51:21.428 - parsing Ok, result CHANGED 
INFO - 2024-01-05 10:21:22.007 - parsing Ok, result CHANGED 
INFO - 2024-01-05 12:51:24.995 - parsing Ok, result CHANGED 
